# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
272923,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272925,None,None,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3,ONE,L1_Mu20_EG10
272926,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272936,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272935,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
272935,5,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
272935,30,12,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
272935,66,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
273017,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
273017,11,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
273063,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
273012,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
273012,5,12,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
273013,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
273136,1,0,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/0
273136,4,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
251163,1,7,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
251562,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
251604,1,10,0,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/0,ONE,L1_Mu20_EG10/65537
251604,16,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/1
251633,5,10,65537,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/65537
251635,31,10,65537,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2/1,ONE,L1_Mu20_EG10/65537
256865,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256866,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256867,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256867,26,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256867,55,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256867,56,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256868,1,6,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256868,382,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256869,1,5,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256924,1,1,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
256924,11,4,1,HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3/1,ONE,L1_Mu20_EG10/1
