#Data tag : v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
275282:5024,06/17/16 00:06:15,90,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,15.959,15.121
275283:5024,06/17/16 00:43:11,132,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,23.908,22.766
275284:5024,06/17/16 01:36:53,74,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,13.124,12.636
275290:5024,06/17/16 03:58:56,48,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,7.827,2.724
275291:5024,06/17/16 04:28:35,347,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,54.356,52.618
275292:5024,06/17/16 06:46:47,121,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,16.754,15.968
275293:5024,06/17/16 07:37:27,200,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,26.526,25.627
275309:5026,06/17/16 13:48:15,563,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,87.363,84.180
275310:5026,06/17/16 17:32:53,1929,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,235.747,228.560
275311:5026,06/18/16 06:07:07,1253,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,113.313,110.613
275319:5027,06/18/16 18:56:15,142,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,26.341,24.989
275337:5027,06/18/16 21:26:04,427,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,72.967,70.069
275338:5027,06/19/16 00:15:37,520,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,79.636,77.062
275344:5028,06/19/16 08:18:25,281,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,53.514,51.398
275345:5028,06/19/16 10:12:11,353,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,63.567,60.786
275370:5029,06/19/16 16:19:29,285,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,55.495,52.765
275371:5029,06/19/16 18:16:49,564,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,100.711,96.380
275375:5030,06/20/16 02:17:12,1323,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,218.952,210.812
275376:5030,06/20/16 10:55:04,3095,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,341.868,332.912
275657:5038,06/24/16 03:32:32,105,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,21.937,20.104
275658:5038,06/24/16 04:16:07,337,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,69.498,65.783
275659:5038,06/24/16 06:31:38,17,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,3.357,3.243
275761:5043,06/25/16 04:24:16,9,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,1.949,1.707
275767:5043,06/25/16 05:31:36,4,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,0.818,0.722
275772:5043,06/25/16 06:28:17,56,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,11.014,10.594
275773:5043,06/25/16 06:53:33,7,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,1.355,1.210
275774:5043,06/25/16 07:01:55,312,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,58.981,56.386
275776:5043,06/25/16 09:11:23,140,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,25.114,23.845
275777:5043,06/25/16 10:12:24,300,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,51.197,49.162
275778:5043,06/25/16 12:13:15,305,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,48.728,46.971
275782:5043,06/25/16 14:44:49,761,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,106.333,102.353
275832:5045,06/26/16 17:18:04,367,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,79.186,74.243
275833:5045,06/26/16 19:45:07,248,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,49.203,47.422
275834:5045,06/26/16 21:26:02,297,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,55.309,53.227
275835:5045,06/26/16 23:24:23,13,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,2.328,2.122
275836:5045,06/26/16 23:32:00,1277,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,198.714,189.644
275837:5045,06/27/16 07:59:11,715,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,88.582,85.912
275847:5045,06/27/16 13:59:22,2263,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,210.336,205.317
275886:5048,06/28/16 08:40:35,37,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,8.225,7.744
275890:5048,06/28/16 09:27:45,1392,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,251.016,241.038
275911:5052,06/29/16 01:49:35,377,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,78.195,74.878
275912:5052,06/29/16 04:21:23,289,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,55.384,53.246
275913:5052,06/29/16 06:19:55,475,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,82.678,78.577
275918:5052,06/29/16 09:29:20,332,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,52.855,51.039
275920:5052,06/29/16 11:56:25,459,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,65.579,62.973
275921:5052,06/29/16 14:59:30,8,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,1.101,1.033
275923:5052,06/29/16 15:17:42,114,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,15.361,14.916
275931:5052,06/29/16 16:34:22,85,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,11.035,10.722
275963:5056,06/30/16 01:02:54,90,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,21.061,19.954
276092:5060,07/01/16 02:14:32,76,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,16.119,15.083
276097:5060,07/01/16 03:07:31,507,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,105.900,101.625
276242:5069,07/02/16 14:05:34,1644,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,289.403,275.474
276243:5069,07/03/16 00:56:20,608,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,84.829,80.003
276244:5069,07/03/16 05:04:17,1200,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v3,141.386,136.344
276282:5071,07/03/16 18:15:01,1066,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,219.082,210.162
276283:5071,07/04/16 01:14:13,1085,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,177.988,171.192
276315:5072,07/04/16 11:19:05,175,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,36.497,34.593
276317:5072,07/04/16 12:33:38,136,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,27.890,26.892
276318:5072,07/04/16 13:30:33,566,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,103.831,100.279
276355:5073,07/04/16 21:39:48,33,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,6.611,6.338
276361:5073,07/04/16 22:36:15,824,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,159.102,153.034
276363:5073,07/05/16 04:07:36,1478,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,221.746,212.058
276384:5073,07/05/16 13:47:06,1116,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,128.872,125.194
276437:5076,07/06/16 02:58:47,2125,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,379.474,364.938
276454:5076,07/06/16 18:08:15,527,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,67.782,65.824
276458:5076,07/07/16 02:00:22,341,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,35.012,34.209
276495:5078,07/07/16 11:20:57,182,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,40.740,38.884
276501:5078,07/07/16 12:47:40,2543,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,427.159,411.671
276502:5078,07/08/16 05:21:18,740,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,90.678,87.951
276525:5080,07/08/16 14:15:18,2786,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,427.358,413.058
276527:5080,07/09/16 08:34:41,214,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,23.837,23.094
276528:5080,07/09/16 10:01:49,391,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,40.594,39.543
276542:5083,07/09/16 16:32:22,784,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,159.489,151.716
276543:5083,07/09/16 21:39:40,948,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,157.668,151.988
276544:5083,07/10/16 03:53:47,160,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,23.529,22.600
