# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
273006,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273006,4,12,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/0 L1_DoubleMu_12_5/0
273012,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273012,5,12,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/0 L1_DoubleMu_12_5/0
273013,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273017,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273017,11,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273063,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273136,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273136,4,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273138,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273142,None,None,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2,OR,L1_DoubleMu_11_4 L1_DoubleMu_12_5
273143,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273145,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273146,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273150,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273150,4,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273150,40,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273158,1,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273158,17,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273158,32,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273276,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273286,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273287,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273287,44,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273290,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273290,4,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273290,13,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273291,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273292,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273294,None,None,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2,OR,L1_DoubleMu_11_4 L1_DoubleMu_12_5
273295,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273296,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273296,14,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273299,1,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273301,1,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273302,1,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273373,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273373,11,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273383,None,None,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2,OR,L1_DoubleMu_11_4 L1_DoubleMu_12_5
273385,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273385,7,12,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/0 L1_DoubleMu_12_5/0
273386,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273386,4,12,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/0 L1_DoubleMu_12_5/0
273394,None,None,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2,OR,L1_DoubleMu_11_4 L1_DoubleMu_12_5
273402,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273402,10,4,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
273402,46,3,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
273402,59,4,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
273402,79,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273402,190,4,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
273402,255,3,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_11_4/1 L1_DoubleMu_12_5/1
273403,1,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273404,1,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273405,1,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273406,1,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273407,None,None,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2,OR,L1_DoubleMu_11_4 L1_DoubleMu_12_5
273408,1,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273408,4,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273409,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273410,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273411,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273412,1,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273424,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273424,6,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273425,1,0,0,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/50,OR,L1_DoubleMu_12_5/0 L1_DoubleMu_11_4/0
273425,8,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273425,54,6,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273425,61,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273426,1,5,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273429,1,0,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2/1,OR,L1_DoubleMu_12_5/1 L1_DoubleMu_11_4/1
273432,None,None,1,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v2,OR,L1_DoubleMu_11_4 L1_DoubleMu_12_5
